id,snapshot_ts,trade_date,symbol,expiry,underlying_value,strike_price,ce_oi,ce_price,ce_iv,pe_oi,pe_price,pe_iv
1,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,170.0,0,0.0,0.0,58,0.0,145.34
2,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,180.0,0,0.0,0.0,13,0.0,0.0
3,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,190.0,0,0.0,0.0,61,0.0,126.17
4,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,195.0,6,125.51,0.0,32,0.0,131.15
5,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,200.0,12,0.0,0.0,149,0.0,128.62
6,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,205.0,10,0.0,0.0,14,0.0,124.05
7,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,210.0,3,0.0,0.0,85,0.1,117.11
8,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,215.0,8,0.0,0.0,22,0.0,113.48
9,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,220.0,71,0.0,0.0,118,0.0,108.82
10,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,225.0,32,0.0,0.0,49,0.0,106.91
11,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,230.0,108,92.7,131.44,205,0.13,97.44
12,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,235.0,100,75.21,0.0,108,0.15,93.57
13,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,240.0,207,0.0,0.0,441,0.0,92.58
14,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,245.0,121,0.0,0.0,152,0.29,90.7
15,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,250.0,408,0.0,0.0,805,0.18,79.07
16,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,255.0,122,0.0,0.0,129,0.0,81.5
17,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,260.0,131,0.0,0.0,409,0.3,73.82
18,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,265.0,112,0.0,0.0,196,0.43,72.52
19,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,270.0,184,50.01,0.0,804,0.49,68.29
20,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,275.0,161,0.0,0.0,404,0.65,65.99
21,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,280.0,396,42.39,56.17,1082,0.87,63.84
22,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,285.0,177,0.0,64.6,707,1.14,61.4
23,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,290.0,547,33.94,64.44,1330,1.45,58.45
24,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,295.0,207,28.01,47.02,612,1.84,55.38
25,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,300.0,1428,23.0,51.42,2347,2.55,53.95
26,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,305.0,365,21.19,57.51,586,3.38,51.79
27,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,310.0,837,16.2,44.53,1680,4.61,50.56
28,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,315.0,324,12.1,45.59,655,6.43,50.73
29,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,320.0,1391,9.44,47.34,1144,8.46,49.84
30,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,325.0,945,7.29,47.83,251,11.5,52.12
31,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,330.0,1283,5.45,49.24,139,14.4,51.57
32,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,335.0,1168,4.46,49.5,61,17.63,50.71
33,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,340.0,601,3.25,49.73,16,21.0,48.33
34,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,345.0,130,2.4,50.54,0,0.0,0.0
35,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,350.0,791,1.8,51.73,1,0.0,62.48
36,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,355.0,34,1.46,54.1,0,0.0,0.0
37,2026-04-20T09:30:00+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,360.0,296,1.02,54.18,0,0.0,0.0
38,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,170.0,0,0.0,0.0,58,0.0,145.34
39,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,180.0,0,0.0,0.0,13,0.0,0.0
40,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,190.0,0,0.0,0.0,61,0.0,126.17
41,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,195.0,6,125.51,0.0,32,0.0,131.15
42,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,200.0,12,0.0,0.0,149,0.0,128.62
43,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,205.0,10,0.0,0.0,14,0.0,124.05
44,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,210.0,3,0.0,0.0,85,0.1,117.11
45,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,215.0,8,0.0,0.0,22,0.0,113.48
46,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,220.0,71,0.0,0.0,118,0.0,108.82
47,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,225.0,32,0.0,0.0,49,0.0,106.91
48,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,230.0,108,92.7,131.44,205,0.13,97.44
49,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,235.0,100,75.21,0.0,108,0.15,93.57
50,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,240.0,207,0.0,0.0,441,0.0,92.58
51,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,245.0,121,0.0,0.0,152,0.29,90.7
52,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,250.0,408,0.0,0.0,805,0.18,79.07
53,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,255.0,122,0.0,0.0,129,0.0,81.5
54,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,260.0,131,0.0,0.0,409,0.3,73.82
55,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,265.0,112,0.0,0.0,196,0.43,72.52
56,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,270.0,184,50.01,0.0,804,0.49,68.29
57,2026-04-20T09:30:53+05:30,2026-04-20,ANGELONE,28-Apr-2026,320.32,275.0,161,0.0,0.0,404,0.65,65.99
